doc_id,work,institution,type_raw,mtype
90c17f14-129d-11ef-a251-01aa75ed71a1,http://publications.europa.eu/resource/cellar/90c17f14-129d-11ef-a251-01aa75ed71a1,Council,ITEM_IA_NOTE,pdf
94e9297d-5f40-11f1-aa6d-01aa75ed71a1,http://publications.europa.eu/resource/cellar/94e9297d-5f40-11f1-aa6d-01aa75ed71a1,Commission,IMPACT_ASSESS_SUM,xhtml
969edb7b-7f7f-11ec-8c40-01aa75ed71a1,http://publications.europa.eu/resource/cellar/969edb7b-7f7f-11ec-8c40-01aa75ed71a1,Commission,DECLAR,xhtml
97d0ac46-299f-11f1-8803-01aa75ed71a1,http://publications.europa.eu/resource/cellar/97d0ac46-299f-11f1-8803-01aa75ed71a1,Parliament,REPORT,pdf
97d86437-5425-11f1-b3e2-01aa75ed71a1,http://publications.europa.eu/resource/cellar/97d86437-5425-11f1-b3e2-01aa75ed71a1,Commission,REPORT,xhtml
992fea61-24d6-11ef-a195-01aa75ed71a1,http://publications.europa.eu/resource/cellar/992fea61-24d6-11ef-a195-01aa75ed71a1,Council,ITEM_IA_NOTE,pdf
9b36c602-7f72-11ec-8c40-01aa75ed71a1,http://publications.europa.eu/resource/cellar/9b36c602-7f72-11ec-8c40-01aa75ed71a1,Commission,FACT_SUM_REPORT_CONSULT,xhtml
9dda0989-b992-11ee-b164-01aa75ed71a1,http://publications.europa.eu/resource/cellar/9dda0989-b992-11ee-b164-01aa75ed71a1,Parliament,RES_LEGIS,xhtml
9e05efdd-9540-11f0-97c8-01aa75ed71a1,http://publications.europa.eu/resource/cellar/9e05efdd-9540-11f0-97c8-01aa75ed71a1,Commission,PROP_DEC,xhtml
a07903ec-c5f5-11f0-8da2-01aa75ed71a1,http://publications.europa.eu/resource/cellar/a07903ec-c5f5-11f0-8da2-01aa75ed71a1,Commission,COMMUNIC,xhtml
a1599b9f-599b-11ec-91ac-01aa75ed71a1,http://publications.europa.eu/resource/cellar/a1599b9f-599b-11ec-91ac-01aa75ed71a1,Commission,REPORT,xhtml
a402db37-5d50-11ec-9c6c-01aa75ed71a1,http://publications.europa.eu/resource/cellar/a402db37-5d50-11ec-9c6c-01aa75ed71a1,Parliament,RES_LEGIS,xhtml
a535fadc-3ca3-11f1-814f-01aa75ed71a1,http://publications.europa.eu/resource/cellar/a535fadc-3ca3-11f1-814f-01aa75ed71a1,Council,NOTE,
a6802eee-5f40-11f1-aa6d-01aa75ed71a1,http://publications.europa.eu/resource/cellar/a6802eee-5f40-11f1-aa6d-01aa75ed71a1,Commission,IMPACT_ASSESS,xhtml
a6b848be-3dc6-11f1-814f-01aa75ed71a1,http://publications.europa.eu/resource/cellar/a6b848be-3dc6-11f1-814f-01aa75ed71a1,Council,NOTE,
a72c4fd1-453e-11eb-b59f-01aa75ed71a1,http://publications.europa.eu/resource/cellar/a72c4fd1-453e-11eb-b59f-01aa75ed71a1,Commission,IMPACT_ASSESS_INCEP,xhtml
a77b6425-d32f-11ef-be2a-01aa75ed71a1,http://publications.europa.eu/resource/cellar/a77b6425-d32f-11ef-be2a-01aa75ed71a1,Commission,RECO,xhtml
a77d5a84-1e3b-11f1-8c3a-01aa75ed71a1,http://publications.europa.eu/resource/cellar/a77d5a84-1e3b-11f1-8c3a-01aa75ed71a1,Council,NOTE,
a8081849-129e-11ef-a251-01aa75ed71a1,http://publications.europa.eu/resource/cellar/a8081849-129e-11ef-a251-01aa75ed71a1,Council,ITEM_IA_NOTE,pdf
a84cffb3-88a2-11eb-ac4c-01aa75ed71a1,http://publications.europa.eu/resource/cellar/a84cffb3-88a2-11eb-ac4c-01aa75ed71a1,Commission,COMMUNIC_POSIT,xhtml
a86b423f-e777-11ee-9ea8-01aa75ed71a1,http://publications.europa.eu/resource/cellar/a86b423f-e777-11ee-9ea8-01aa75ed71a1,Parliament,OPIN_EP_CMT,
aba793c9-0598-11f1-825d-01aa75ed71a1,http://publications.europa.eu/resource/cellar/aba793c9-0598-11f1-825d-01aa75ed71a1,Parliament,REPORT_DRAFT_EP_CMT,
ac957f13-53c6-11ea-aece-01aa75ed71a1,http://publications.europa.eu/resource/cellar/ac957f13-53c6-11ea-aece-01aa75ed71a1,Commission,PAPER_WHITE,xhtml
ad0e5755-0d7c-11f1-8870-01aa75ed71a1,http://publications.europa.eu/resource/cellar/ad0e5755-0d7c-11f1-8870-01aa75ed71a1,Parliament,AMEND_LIST_EP,
adf2cda7-6bc7-11f0-bf4e-01aa75ed71a1,http://publications.europa.eu/resource/cellar/adf2cda7-6bc7-11f0-bf4e-01aa75ed71a1,Council,NOTE,pdf
af3f1b0b-fc91-11ee-a251-01aa75ed71a1,http://publications.europa.eu/resource/cellar/af3f1b0b-fc91-11ee-a251-01aa75ed71a1,Parliament,AGREE_PROV,
af851426-57c9-11ec-91ac-01aa75ed71a1,http://publications.europa.eu/resource/cellar/af851426-57c9-11ec-91ac-01aa75ed71a1,Parliament,OWNINI_RES,xhtml
b0c79e29-7351-11ec-9136-01aa75ed71a1,http://publications.europa.eu/resource/cellar/b0c79e29-7351-11ec-9136-01aa75ed71a1,Parliament,OWNINI_RES,xhtml
b0f88630-80d2-11f0-9af8-01aa75ed71a1,http://publications.europa.eu/resource/cellar/b0f88630-80d2-11f0-9af8-01aa75ed71a1,Parliament,OPIN_EP_CMT,
b1da3f85-143f-11ef-a251-01aa75ed71a1,http://publications.europa.eu/resource/cellar/b1da3f85-143f-11ef-a251-01aa75ed71a1,Council,ITEM_IA_NOTE,pdf
b23c4995-2861-11f1-a7dd-01aa75ed71a1,http://publications.europa.eu/resource/cellar/b23c4995-2861-11f1-a7dd-01aa75ed71a1,Council,NOTE,
b362fd9c-a666-11f1-b25c-01aa75ed71a1,http://publications.europa.eu/resource/cellar/b362fd9c-a666-11f1-b25c-01aa75ed71a1,Parliament,RES_LEGIS,xhtml
b397c30e-6a63-11f1-ae88-01aa75ed71a1,http://publications.europa.eu/resource/cellar/b397c30e-6a63-11f1-ae88-01aa75ed71a1,Commission,COMMUNIC,xhtml
b3a1598c-2c69-11f1-906d-01aa75ed71a1,http://publications.europa.eu/resource/cellar/b3a1598c-2c69-11f1-906d-01aa75ed71a1,Parliament,OPIN_EP_CMT,
b7875ebe-443a-11f1-8095-01aa75ed71a1,http://publications.europa.eu/resource/cellar/b7875ebe-443a-11f1-8095-01aa75ed71a1,Commission,REPORT,pdf
b94fc82c-3588-11eb-b27b-01aa75ed71a1,http://publications.europa.eu/resource/cellar/b94fc82c-3588-11eb-b27b-01aa75ed71a1,Commission,COMMUNIC,xhtml
b969545d-af9f-11ea-bb7a-01aa75ed71a1,http://publications.europa.eu/resource/cellar/b969545d-af9f-11ea-bb7a-01aa75ed71a1,Council,CONCL,xhtml
b992c792-f6ab-11f0-b9bc-01aa75ed71a1,http://publications.europa.eu/resource/cellar/b992c792-f6ab-11f0-b9bc-01aa75ed71a1,Commission,REPORT,xhtml
bae9637f-6a63-11f1-ae88-01aa75ed71a1,http://publications.europa.eu/resource/cellar/bae9637f-6a63-11f1-ae88-01aa75ed71a1,Commission,SWD,xhtml
baebce15-1ef5-11ed-8fa0-01aa75ed71a1,http://publications.europa.eu/resource/cellar/baebce15-1ef5-11ed-8fa0-01aa75ed71a1,Commission,RECO_DEC,xhtml
bb635126-0d7c-11f1-8870-01aa75ed71a1,http://publications.europa.eu/resource/cellar/bb635126-0d7c-11f1-8870-01aa75ed71a1,Parliament,AMEND_LIST_EP,
bd17fd0f-b5b0-11ec-b6f4-01aa75ed71a1,http://publications.europa.eu/resource/cellar/bd17fd0f-b5b0-11ec-b6f4-01aa75ed71a1,Commission,FACT_SUM_REPORT_CONSULT,xhtml
bd380e70-6a63-11f1-ae88-01aa75ed71a1,http://publications.europa.eu/resource/cellar/bd380e70-6a63-11f1-ae88-01aa75ed71a1,Commission,SWD,xhtml
be1a7ff8-7ad0-11f1-bf5e-01aa75ed71a1,http://publications.europa.eu/resource/cellar/be1a7ff8-7ad0-11f1-bf5e-01aa75ed71a1,Commission,COMMUNIC,xhtml
bf74c67d-98f6-11eb-b85c-01aa75ed71a1,http://publications.europa.eu/resource/cellar/bf74c67d-98f6-11eb-b85c-01aa75ed71a1,Council,POSIT,xhtml
c319827b-7523-11f1-bf5e-01aa75ed71a1,http://publications.europa.eu/resource/cellar/c319827b-7523-11f1-bf5e-01aa75ed71a1,Council,NOTE,pdf
c45de3f1-6a63-11f1-ae88-01aa75ed71a1,http://publications.europa.eu/resource/cellar/c45de3f1-6a63-11f1-ae88-01aa75ed71a1,Commission,SWD,xhtml
c651aa91-48e4-11f1-8095-01aa75ed71a1,http://publications.europa.eu/resource/cellar/c651aa91-48e4-11f1-8095-01aa75ed71a1,Parliament,RES_LEGIS,xhtml
c6b4f352-6a63-11f1-ae88-01aa75ed71a1,http://publications.europa.eu/resource/cellar/c6b4f352-6a63-11f1-ae88-01aa75ed71a1,Commission,SWD,xhtml
c880345c-1c5c-11f1-8c3a-01aa75ed71a1,http://publications.europa.eu/resource/cellar/c880345c-1c5c-11f1-8c3a-01aa75ed71a1,Council,NOTE,
c8c51d1a-c572-11f0-8da2-01aa75ed71a1,http://publications.europa.eu/resource/cellar/c8c51d1a-c572-11f0-8da2-01aa75ed71a1,Commission,PROP_REG,xhtml
ca49a33d-3588-11eb-b27b-01aa75ed71a1,http://publications.europa.eu/resource/cellar/ca49a33d-3588-11eb-b27b-01aa75ed71a1,Commission,SWD,xhtml
cac50d31-e777-11ee-9ea8-01aa75ed71a1,http://publications.europa.eu/resource/cellar/cac50d31-e777-11ee-9ea8-01aa75ed71a1,Parliament,OPIN_EP_CMT,
cd7293d7-0d7c-11f1-8870-01aa75ed71a1,http://publications.europa.eu/resource/cellar/cd7293d7-0d7c-11f1-8870-01aa75ed71a1,Parliament,AMEND_LIST_EP,
cd806b9d-7bf7-11f1-bf5e-01aa75ed71a1,http://publications.europa.eu/resource/cellar/cd806b9d-7bf7-11f1-bf5e-01aa75ed71a1,Council,RES,xhtml
ce3b96ac-2867-11f1-a7dd-01aa75ed71a1,http://publications.europa.eu/resource/cellar/ce3b96ac-2867-11f1-a7dd-01aa75ed71a1,Council,NOTE,
d02dd0e8-4364-11f1-8095-01aa75ed71a1,http://publications.europa.eu/resource/cellar/d02dd0e8-4364-11f1-8095-01aa75ed71a1,Parliament,OWNINI_RES,xhtml
d031f3f0-82ff-11ee-99ba-01aa75ed71a1,http://publications.europa.eu/resource/cellar/d031f3f0-82ff-11ee-99ba-01aa75ed71a1,Council,NOTE,pdf
d0eb4417-2540-11f1-a7dd-01aa75ed71a1,http://publications.europa.eu/resource/cellar/d0eb4417-2540-11f1-a7dd-01aa75ed71a1,Parliament,OPIN_LETTER_EP_CMT,
d410511a-227d-11ef-a251-01aa75ed71a1,http://publications.europa.eu/resource/cellar/d410511a-227d-11ef-a251-01aa75ed71a1,Council,NOTE,
d4b0bfbb-5ec4-11f1-aa6d-01aa75ed71a1,http://publications.europa.eu/resource/cellar/d4b0bfbb-5ec4-11f1-aa6d-01aa75ed71a1,Parliament,AGREE_PROV,
