doc_id,status,bytes,institution,type_raw,mtype
42a122d6-1a23-11f1-9769-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,ADOPT_TEXT,
43ea2afa-1d38-11f1-8c3a-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Council,NOTE,
4422b153-e778-11ee-9ea8-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,OPIN_EP_CMT,
44f0ed1f-285f-11f1-a7dd-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Council,NOTE,
44f3a665-1f96-11f1-8c3a-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,ADOPT_TEXT,
5056e36b-e777-11ee-9ea8-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,REPORT_EP,
543241bd-d0ab-11f0-8da2-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,OPIN_LETTER_EP_CMT,
572230f4-2896-11f1-a7dd-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,AMEND_LIST_EP,
66016957-1f96-11f1-8c3a-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,REPORT,
6fae7de9-1a23-11f1-9769-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,REPORT,
7686476d-e777-11ee-9ea8-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,OPIN_EP_CMT,
85c7a130-08c8-11f1-8870-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,AMEND_LIST_EP,
8b2c398f-0601-11ef-a251-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,ADOPT_TEXT,
a77d5a84-1e3b-11f1-8c3a-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Council,NOTE,
a86b423f-e777-11ee-9ea8-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,OPIN_EP_CMT,
aba793c9-0598-11f1-825d-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,REPORT_DRAFT_EP_CMT,
ad0e5755-0d7c-11f1-8870-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,AMEND_LIST_EP,
af3f1b0b-fc91-11ee-a251-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,AGREE_PROV,
b0f88630-80d2-11f0-9af8-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,OPIN_EP_CMT,
b3a1598c-2c69-11f1-906d-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,OPIN_EP_CMT,
bb635126-0d7c-11f1-8870-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,AMEND_LIST_EP,
cac50d31-e777-11ee-9ea8-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,OPIN_EP_CMT,
cd7293d7-0d7c-11f1-8870-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,AMEND_LIST_EP,
d0eb4417-2540-11f1-a7dd-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,OPIN_LETTER_EP_CMT,
d4b0bfbb-5ec4-11f1-aa6d-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,AGREE_PROV,
d5b71802-1d3e-11f1-8c3a-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,ADOPT_TEXT,
e3e0548e-6a7a-11f1-ae88-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,ADOPT_TEXT,
f77c40cd-1c9b-11f1-8c3a-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,OPIN_EP_CMT,
f7f5a958-2541-11f1-a7dd-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,REPORT_EP,
fbd2c0b9-2a96-11f1-906d-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,ADOPT_TEXT,
